Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,143.764,-97.732,0.0,top
C2,100nF,C_0402_1005Metric,157.48,-104.14,0.0,top
C3,100nF,C_0402_1005Metric,150.876,-105.156,90.0,top
D1,SK6805-EC15,SK6805-EC15,146.7665,-96.488776,-90.0,top
D10,SK6805-EC15,SK6805-EC15,152.204,-109.226566,90.0,top
D11,SK6805-EC15,SK6805-EC15,149.079,-107.422347,90.0,top
D12,SK6805-EC15,SK6805-EC15,146.23525,-105.780507,90.0,top
D13,SK6805-EC15,SK6805-EC15,145.329,-102.918274,90.0,top
D14,SK6805-EC15,SK6805-EC15,144.79775,-100.218422,90.0,top
D15,SK6805-EC15,SK6805-EC15,148.781837,-103.860522,-90.0,top
D16,SK6805-EC15,SK6805-EC15,150.529357,-101.206005,0.0,top
D17,SK6805-EC15,SK6805-EC15,153.730664,-101.206005,0.0,top
D18,SK6805-EC15,SK6805-EC15,152.219165,-98.639132,0.0,top
D19,SK6805-EC15,SK6805-EC15,155.36519,-98.639132,-90.0,top
D2,SK6805-EC15,SK6805-EC15,149.48525,-94.919105,-90.0,top
D3,SK6805-EC15,SK6805-EC15,152.204,-93.349434,-90.0,top
D4,SK6805-EC15,SK6805-EC15,155.329,-95.153653,-90.0,top
D5,SK6805-EC15,SK6805-EC15,158.17275,-96.795493,-90.0,top
D6,SK6805-EC15,SK6805-EC15,159.079,-99.657726,-90.0,top
D7,SK6805-EC15,SK6805-EC15,159.61025,-102.357578,-90.0,top
D8,SK6805-EC15,SK6805-EC15,157.6415,-106.087224,90.0,top
D9,SK6805-EC15,SK6805-EC15,154.92275,-107.656895,90.0,top
R1,470R,R_0402_1005Metric,143.764,-96.716,180.0,top
