Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,95.76,-52.194,0.0,top
C1,100nF,C_0402_1005Metric,30.96,-32.694,0.0,top
C1,100nF,C_0402_1005Metric,95.76,-13.194,0.0,top
C1,100nF,C_0402_1005Metric,52.56,-71.694,0.0,top
C1,100nF,C_0402_1005Metric,9.36,-32.694,0.0,top
C1,100nF,C_0402_1005Metric,74.16,-52.194,0.0,top
C1,100nF,C_0402_1005Metric,52.56,-13.194,0.0,top
C1,100nF,C_0402_1005Metric,9.36,-52.194,0.0,top
C1,100nF,C_0402_1005Metric,9.36,-71.694,0.0,top
C1,100nF,C_0402_1005Metric,74.16,-71.694,0.0,top
C1,100nF,C_0402_1005Metric,95.76,-32.694,0.0,top
C1,100nF,C_0402_1005Metric,52.56,-32.694,0.0,top
C1,100nF,C_0402_1005Metric,30.96,-13.194,0.0,top
C1,100nF,C_0402_1005Metric,52.56,-52.194,0.0,top
C1,100nF,C_0402_1005Metric,74.16,-32.694,0.0,top
C1,100nF,C_0402_1005Metric,30.96,-71.694,0.0,top
C1,100nF,C_0402_1005Metric,9.36,-13.194,0.0,top
C1,100nF,C_0402_1005Metric,30.96,-52.194,0.0,top
C1,100nF,C_0402_1005Metric,95.76,-71.694,0.0,top
C1,100nF,C_0402_1005Metric,74.16,-13.194,0.0,top
C2,100nF,C_0402_1005Metric,87.876,-39.102,0.0,top
C2,100nF,C_0402_1005Metric,23.076,-58.602,0.0,top
C2,100nF,C_0402_1005Metric,66.276,-78.102,0.0,top
C2,100nF,C_0402_1005Metric,109.476,-78.102,0.0,top
C2,100nF,C_0402_1005Metric,44.676,-58.602,0.0,top
C2,100nF,C_0402_1005Metric,109.476,-19.602,0.0,top
C2,100nF,C_0402_1005Metric,44.676,-39.102,0.0,top
C2,100nF,C_0402_1005Metric,109.476,-58.602,0.0,top
C2,100nF,C_0402_1005Metric,87.876,-58.602,0.0,top
C2,100nF,C_0402_1005Metric,109.476,-39.102,0.0,top
C2,100nF,C_0402_1005Metric,87.876,-78.102,0.0,top
C2,100nF,C_0402_1005Metric,87.876,-19.602,0.0,top
C2,100nF,C_0402_1005Metric,66.276,-39.102,0.0,top
C2,100nF,C_0402_1005Metric,23.076,-39.102,0.0,top
C2,100nF,C_0402_1005Metric,23.076,-19.602,0.0,top
C2,100nF,C_0402_1005Metric,23.076,-78.102,0.0,top
C2,100nF,C_0402_1005Metric,66.276,-58.602,0.0,top
C2,100nF,C_0402_1005Metric,66.276,-19.602,0.0,top
C2,100nF,C_0402_1005Metric,44.676,-19.602,0.0,top
C2,100nF,C_0402_1005Metric,44.676,-78.102,0.0,top
